num,Collar ,Date,Lat,Long,x,y
7,6655,6/2/2017,40.7538617,-77.5520517,284561.4256,4514567.268
8,6655,6/2/2017,40.753995,-77.553015,284480.5287,4514584.434
9,6655,6/3/2017,40.7539467,-77.5534967,284439.7046,4514580.256
10,6655,6/3/2017,40.7531933,-77.551675,284591.0701,4514492.136
11,6655,6/4/2017,40.7531883,-77.5526067,284512.3934,4514493.87
12,6655,6/4/2017,40.75357,-77.552075,284558.5162,4514534.94
13,6655,6/5/2017,40.7537617,-77.551955,284569.2666,4514555.928
14,6655,6/5/2017,40.7541,-77.553185,284466.5156,4514596.509
1,6603,5/31/2017,40.7708367,-77.8560083,258960.4653,4517243.148
2,6603,5/31/2017,40.77052,-77.8559817,258961.565,4517207.913
3,6603,6/1/2017,40.770695,-77.8564867,258919.572,4517228.731
4,6603,6/1/2017,40.769965,-77.8572017,258856.5788,4517149.649
5,6603,6/2/2017,40.770585,-77.85589,258969.5403,4517214.877
6,6603,6/2/2017,40.7705333,-77.8564967,258918.1429,4517210.806
7,6603,6/3/2017,40.7704317,-77.8566983,258900.7587,4517200.08
8,6603,6/3/2017,40.7707367,-77.8564,258927.041,4517233.122
9,6603,6/4/2017,40.7704783,-77.8567883,258893.3305,4517205.501
10,6603,6/4/2017,40.7707133,-77.8562667,258938.2079,4517230.158
11,6603,6/5/2017,40.7703233,-77.8565767,258910.6306,4517187.71
12,6603,6/5/2017,40.7710367,-77.85676,258897.7396,4517267.42
13,6603,6/6/2017,40.7704217,-77.85662,258907.3317,4517198.754
14,6603,6/6/2017,40.7705367,-77.8566967,258901.2736,4517211.733
1,6602,6/4/2017,40.6577133,-77.827825,260934.6856,4504606.577
2,6602,6/4/2017,40.6597683,-77.8304667,260718.6774,4504841.923
3,6602,6/5/2017,40.6600067,-77.8313067,260648.5097,4504870.679
4,6602,6/5/2017,40.661625,-77.8329633,260514.2407,4505054.863
5,6602,6/6/2017,40.6616367,-77.8330717,260505.1179,4505056.458
6,6602,6/6/2017,40.6636767,-77.8356067,260298.1038,4505289.86
7,6602,6/7/2017,40.661355,-77.8326217,260542.1552,4505023.955
8,6602,6/7/2017,40.6633817,-77.8329883,260518.416,4505249.966
9,6602,6/8/2017,40.6624067,-77.8323017,260572.9741,4505139.847
10,6602,6/8/2017,40.66363,-77.8357383,260286.8105,4505285.034
11,6602,6/9/2017,40.66264,-77.8321833,260583.8192,4505165.426
12,6602,6/9/2017,40.6633617,-77.8329133,260524.6852,4505247.542
13,6602,6/10/2017,40.6638083,-77.8344283,260398.2011,4505301.256
14,6602,6/10/2017,40.66388,-77.834525,260390.2826,4505309.48
1,6620,6/6/2017,40.77846,-77.6637583,275213.3735,4517578.667
2,6620,6/6/2017,40.7774683,-77.662875,275284.576,4517466.3
3,6620,6/7/2017,40.7776283,-77.663375,275242.9171,4517485.346
4,6620,6/7/2017,40.777225,-77.6629533,275277.1471,4517439.489
5,6620,6/8/2017,40.77707,-77.6625367,275311.7845,4517421.213
6,6620,6/8/2017,40.777225,-77.6627183,275296.9806,4517438.887
7,6620,6/9/2017,40.7776467,-77.6628783,275284.8991,4517486.115
8,6620,6/9/2017,40.77757,-77.6635217,275230.3393,4517479.249
9,6620,6/10/2017,40.777365,-77.663055,275269.0361,4517455.293
10,6620,6/10/2017,40.7770933,-77.6633767,275240.969,4517425.953
11,6620,6/11/2017,40.7777833,-77.6625517,275312.9239,4517500.444
12,6620,6/11/2017,40.77764,-77.662905,275282.6232,4517485.44
13,6620,6/12/2017,40.777915,-77.6637033,275216.1767,4517518.018
14,6620,6/12/2017,40.7777783,-77.6629517,275279.1482,4517500.914
1,6619,6/6/2017,40.7857483,-77.6733767,274426.2973,4518412.549
2,6619,6/6/2017,40.785765,-77.6736067,274406.9448,4518414.995
3,6619,6/7/2017,40.7846283,-77.6737483,274391.1459,4518289.159
4,6619,6/7/2017,40.7845517,-77.6734933,274412.4055,4518279.998
5,6619,6/8/2017,40.7844767,-77.67376,274389.6451,4518272.358
6,6619,6/8/2017,40.785335,-77.6732833,274432.7795,4518366.422
7,6619,6/9/2017,40.78554,-77.6735983,274406.8917,4518389.993
8,6619,6/9/2017,40.7857633,-77.67341,274423.538,4518414.3
9,6619,6/10/2017,40.7861183,-77.67517,274276.22,4518458.245
10,6619,6/10/2017,40.7854067,-77.675905,274211.784,4518381.134
11,6619,6/11/2017,40.7852367,-77.6759867,274204.3133,4518362.471
12,6619,6/11/2017,40.7852667,-77.675875,274213.8411,4518365.513
13,6619,6/12/2017,40.784805,-77.6753067,274260.2339,4518312.79
14,6619,6/12/2017,40.78535,-77.6732717,274433.8092,4518368.058
